향수_이름,향수_notes,향수_설명
메종 프란시스 커정 쁘띠 마땅,"Italian Lemon, Orange Blossom, Musk, Lavender, Ambroxan, Hawthorn",레몬과 라벤더로 만든 비누로 개운하게 씻고 나온듯한 향이라고 할 수 있어요. 씻을 때부터 완전 시원하고 막 내 몸에 묵은 때들을 다 씻겨 버려 줄 것 같은 느낌이랄까요. 시트러스 허브 양이라서 장마철에 찝찝함을 다 날려보내 줄 것 같은 향수예요. 딱 뿌리자마자 껍질째 레몬이나 오렌지가 떠오르는 상큼 씁쓸한 향이 확 퍼지고 그와 함께 라벤더의 편안한 허브향이 곁드려 있니다. 그리고 잔향은 깨끗한 머스크향으로 남아서 되게 잘 세탁되고 쨍쨍한 햇볕에 빠삭하게 마른 섬유가 떠오르기도 합니다. 아주 라이트하고 남녀노소 모두 잘 어울릴 향이기 때문에 아 시트러스 너무 싫어 이런 사람이 아니라면 호로 크게 안 갈리고 대부분 좋아할 것 같은 향이 든요.
조보이 사이키 델릭,"Citruses, Patchouli, Amber, French labdanum, Geranium, Rose, Vanille, Musk",아주 대담하고 개성 넘치는 향이에요. 신비의 약초를 밤중에 혼자 가서 막 미친듯이 캐내고 있는 모습이 상상되는 향이라고 설명한 적이 있는데요. 그만큼 아주 독창적이고 진짜 독보적인 멋이 있는 향수입니다. 1970년대 평화와 사랑을 외치던 히피들의 락스피릿에서 영감을 받은 향입니다. 숲속에 축축한 잡초 냄새와 크게 어우러진듯한 냄새가 나기 때문에 히피 정신인 자연으로의 복귀라는 정신에 더 딱 부합하는 향이거든요. 패출리향이 아주 제대로 느껴져요. 진짜 핏줄이 폭탄이라고 표현해도 과언이 아니죠. 향수를 뿌리면 진짜 제가 그 봤던 그러한 시각매체들이 눈앞에 막 그려지는 것 같은 경험을 하게 해서 저는 이 향수가 굉장히 흥미롭고 좋습니다. 딱 그때의 그곳에 간다면 이 사이키델릭 냄새가 날 것 같아요.
로렌조 빌로레시 이페르보리아,"Lily-of-the-Valley, Green Notes, Cyclamen, Citruses, Flowers, Peach, Mandarin Orange, Orange, Lily-of-the-Valley, Magnolia, White Flowers, Mimosa, Musk, White Flowers, Jasmine, African Orange Flower, Woodsy Notes","맑은 꽃비누 향 같은 느낌이에요. 눈송이가 쌓인 꽃으로 만든 비누가 있다면 딱 요런 느낌일 것 같고, 살짝 녹은 눈 사이에서 피어날 꽃의 향기랄까, 새하얗고 촉촉한 이미지가 연상되는 향인데요. 부드럽고 조밀한 순백의 비누 거품 향이라고 생각하시면 될 것 같아요. 릴리 오브 더 벨리, 매그놀리아, 자스민 같은 화이트 플라워 향조가 많이 포함된 향수인데, 특정한 꽃향기가 도드라지게 느껴진다기보다는 깨끗한 꽃비누 향이 기분 좋아지는 바디워시 같은 이미지가 연상되는 향수입니다. 향이 되게 은은하고 호불호가 크게 갈리지 않아요. 부드럽고 포근한 느낌이랑 시원하고 맑은 느낌이 공존하고 있어서, 따뜻한 물로 거품 목욕하다가 창문을 딱 열었더니 싱그러운 꽃바람이 싹 불어오는 느낌이랄까. 4계절 내내 언제든 사용할 만한 향이에요."
발렌티노 코랄 판타지,"Kiwi, Brazilian Orange, Indian Jasmine, Ambrette (Musk Mallow), Rose, White Musk, Texas Cedar","키위로 만든 땡모반 같은 향이에요. 기본적으로 수박주스 향이 나는데 수박보다 키위가 더 많이 들어간 느낌이고, 생기 발랄하게 꽃향기가 어우러져서 친구랑 같이 여자들이 좋아하는 핫플 카페 가는 날 뿌리고 싶은 향수입니다."
러쉬 팬지,"Orange Blossom, Rosemary, Blackberry, Floral Notes, Bergamot, Galbanum, Labdanum",러쉬 매장 냄새랑 약간 비슷해요. 이국적이고 아로마틱한 상큼달콤함이 어우러지면서도 비누들이 주는 깨끗한 느낌이 있는 러쉬 매장의 느낌을 닮은 향입니다.
베르두 플뢰르 드 티아레 일랑,"Ylang-Ylang, Tiare Flower, Sandalwood","유기농 향수로, 노란색 티아레 꽃에 일랑일랑, 달콤한 꿀 향기가 섞였거든요, 달달한 화이트 플라워와 옐로우 플라워 향이 있어요. 뭔가 열대 지방에서 생 바나나 까먹는 느낌이 들어서 뿌리면 미소가 지어지는 향입니다."
필로소피 어메이징 그레이스 인텐스,"Raspberry, Wild Strawberry, Rose, Musk",약간 장미 꽃잎 띄운 욕조에서 목욕하면서 달달한 산딸기랑 라즈베리 먹고 있는 기분이에요. 스윗함과 깨끗함이 함께 느껴져서 이렇게 향수로도 쓰고 있습니다. 약간 딸기 사탕 같기도 해요.
멜린 앤 게츠 스트로베리,"Strawberry, Pink Pepper, Bergamot, Green Notes, Milk, Jasmine, Musk, Oakmoss, Orris, Cedar","딸기 정원'이라는 컨셉답게 정원의 풀향이 꽤 느껴지고요, 딸기향은 언뜻언뜻 느껴지고 딸기 사탕이나 딸기 시럽같은 느낌은 아닙니다. 풀 밭에서 당도 낮은 생딸기 라떼를 마시는 느낌 같아요. 라떼에 딸기가 조금밖에 안 들어간 느낌? 일반적인 딸기 향수 같지는 않아서 되게 인상적이었어요."
구찌 플루라 고저스 메그놀리아,"Dewberry, Coconut, Magnolia, Jasmine Sambac, Clary Sage, Musk, Patchouli, Blonde Woods",베리향 바디워시랑 코코넛향 샴푸로 머리 감고 나와서 화려한 플라워 패턴의 원피스 입고 구찌 백 들고 출근하는 이미지가 떠올라요. 처음에는 샴푸스러운 프루티 느낌의 향으로 시작하는데 시간이 지나면 earthy한 패출리 향이랑 레더 향으로 확 변해요. 가죽 소재의 명품백을 든 모습이 연상되네요.
겐조 플라워바이겐조 포피 부케 EDT,"Nashi Pear, Gardenia, Bulgarian Rose, Almond Tree",신선하고 팝한 꽃다발 향이에요.
아르마니 뷰티 마이웨이 플로럴,"Orange Blossom, Green Mandarin, Bitter Orange, Indian Tuberose, Tunisian Neroli, Bourbon Vanilla, White Musk",와우 풍선껌 같은 향이 나요! 왠지 블루베리맛 와우 풍선껌이 생각나네요.
카얄리 얌 피스타치오 젤라또,"Pistachio, Ice cream, Bergamot, Hazelnut, Rum, Cardamom, Lily-of-the-Valley, Pear, Jasmine, Peony, Geranium, White Peach, Raspberry, Whipped Cream, Marshmallow, Cotton Candy, Tonka Bean, Loukhoum, Sandalwood, Cacao, Cedar",피스타치오 아이스크림 향입니다. 비누처럼 깨끗한 향으로 구현돼요! 달달한 향기나는 아이스크림 모양 비누가 떠오르는 향입니다. 피스타치오 아이스크림 비누가 있다면 이러 것 같아요!
아리아나 그란데 솔티드 카라멜,"Zefir, Caramel, Salt, Fig, Quince, Lavender, Pear Blossom, Musk, Tonka Bean, Sandalwood","솔티드 캐러멜 바른 무화과를 라벤더 밭에서 먹는 기분이 들어요. 과즙 있는 무화과 향이랑 단짠한 솔티드 캐러멜 향을 시작하는데 라벤드 향이 싹 터치가 돼 가지고요, 되게 달달한 향인데 좀 중성적이면서 느글거리지 않는 향으로 만들어졌어요."
자라 필드 앤 라이트 폴,"Praline, Jasmine, Sandalwood, Amber",우유에 시럽이나 바닐라 파우더 넣고 따뜻하게 데워서 마시는듯한 향이예요. 귀엽고 편안한 우유 향 느낌!
제로보암 고조,"Tuberose, Saffron, Bergamot, Cedarwood, Violet Leaves, Geranium, Patchouli, White Musk, Ambroxan",외국 여행하다가 마주친 기념품샵에서 구입한 형형색색 캔디가 있다면 이럴 것 같아요! 잔향에서는 earthy한 패츌리향이 나서... 비옥한 흙바닥에 떨어진 주황색 캔디 같은 느낌입니다.
베스 앤 바디 웍스 러브 올웨이즈 윈즈,"Watery Notes, Citrus, Woodsy Notes, Sage, Lotus",엄청 달달한 통조림 과일이랑 코코넛 워터로 만든 과일 화채 느낌이랍니다.
크리니크 마이해피 오 드 퍼퓸 릴리 오브 더 비치 ,"Frangipani, Coconut, Lily, Tiare Flower, Vanilla, Sandalwood, Ylang-Ylang, Amber, Bergamot","완전 여름 무드를 담고 있는 향이에요. 여름에 따사로운 햇살을 담은 온기가 있는 온도가 높은 스타일이에요. 향은 나른한 한 여름에 꽃밭에서 코코넛 밀크를 맛있는 듯한 향이라고 할 수 있어요. 그만큼 행복하고 달콤한 플로르 오디 향입니다. 여기서는 휴양지에서 자주 보이는 꽃은 프랑지파니, 일랑일랑, 릴리 요런 볼륨감 있는 꽃향기가 솔솔 나고요. 그와 함께의 크리미한 코코넛 향기도 꽤나 느껴집니다. 게다가 바닐라와 엠버의 달콤함 그리고 샌달 향까지 더해졌습니다."
세르주 루텐 라 휘드 베흘랑,"Rose, Geranium, Palmarosa, Honey, Moss, Patchouli","이 향수는 장미향이 지배적인 향이에요. 하지만 그냥 뻔하고 고운 장미 냄새는 아닙니다. 처음에 딱 뿌리면 되게 쎄한 냄새가 나는데 껌 은박지를 씹은듯한 느낌으로, 좀 메탈릭한 향으로 시작하는 향수에요. 되게 서늘한 꽃향기다 이 생각이 들더라구요. 해 안 뜨고 구름낀 날 그늘 밑에 있으면 서늘하잖아요, 딱 그런 느낌이에요.  근데 또 이게 시간이 지날수록 달달한 장미향이 솔솔 올라오고 잔향해서는 패춘리 향이 많이 나거든요. 잔향을 맡으며는 쌀쌀한 날씨에도 어울릴 향이라는 생각이 들어요. 그냥 단순한 장미 향은 아니에요. 장미향 향수 중에선 특이한 편에 속하는? 뭔가 되게 분위기 있고 사연 있어 보이는 느낌을 내기에 적합한 향수 같아요. "
